2025-03-31T21:44:48.986468Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 325, leaf_nodes: 24, hashed_cursor_seek_count: 53, hashed_cursor_advance_count: 24, walker_advance_count: 348 }
2025-03-31T21:44:48.986622Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 1, leaf_nodes: 31, hashed_cursor_seek_count: 3, hashed_cursor_advance_count: 31, walker_advance_count: 3 }
2025-03-31T21:44:48.987037Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 2, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 2, walker_advance_count: 1 }
2025-03-31T21:44:48.987380Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 513, leaf_nodes: 35, hashed_cursor_seek_count: 85, hashed_cursor_advance_count: 35, walker_advance_count: 560 }
2025-03-31T21:44:48.987488Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 1, leaf_nodes: 31, hashed_cursor_seek_count: 3, hashed_cursor_advance_count: 31, walker_advance_count: 3 }
2025-03-31T21:44:48.987990Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 381, leaf_nodes: 18, hashed_cursor_seek_count: 39, hashed_cursor_advance_count: 18, walker_advance_count: 405 }
2025-03-31T21:44:48.988169Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 1, leaf_nodes: 25, hashed_cursor_seek_count: 3, hashed_cursor_advance_count: 25, walker_advance_count: 3 }
2025-03-31T21:44:48.988669Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 387, leaf_nodes: 15, hashed_cursor_seek_count: 45, hashed_cursor_advance_count: 15, walker_advance_count: 411 }
2025-03-31T21:44:48.989124Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 256, leaf_nodes: 0, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 0, walker_advance_count: 256 }
2025-03-31T21:44:48.989434Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 319, leaf_nodes: 10, hashed_cursor_seek_count: 28, hashed_cursor_advance_count: 10, walker_advance_count: 334 }
2025-03-31T21:44:48.989799Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 340, leaf_nodes: 15, hashed_cursor_seek_count: 34, hashed_cursor_advance_count: 15, walker_advance_count: 352 }
2025-03-31T21:44:48.990299Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 317, leaf_nodes: 21, hashed_cursor_seek_count: 60, hashed_cursor_advance_count: 21, walker_advance_count: 343 }
2025-03-31T21:44:48.990868Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 9, leaf_nodes: 46, hashed_cursor_seek_count: 23, hashed_cursor_advance_count: 46, walker_advance_count: 23 }
2025-03-31T21:44:48.990891Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 9, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 9, walker_advance_count: 1 }
2025-03-31T21:44:48.991035Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 510, leaf_nodes: 35, hashed_cursor_seek_count: 80, hashed_cursor_advance_count: 35, walker_advance_count: 557 }
2025-03-31T21:44:48.991146Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 1, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 1, walker_advance_count: 1 }
2025-03-31T21:44:48.991392Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 41, leaf_nodes: 87, hashed_cursor_seek_count: 124, hashed_cursor_advance_count: 87, walker_advance_count: 124 }
2025-03-31T21:44:48.991738Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 1, leaf_nodes: 40, hashed_cursor_seek_count: 4, hashed_cursor_advance_count: 40, walker_advance_count: 4 }
2025-03-31T21:44:48.991962Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 9, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 9, walker_advance_count: 1 }
2025-03-31T21:44:48.992550Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 515, leaf_nodes: 33, hashed_cursor_seek_count: 90, hashed_cursor_advance_count: 33, walker_advance_count: 565 }
2025-03-31T21:44:48.992780Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 3, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 3, walker_advance_count: 1 }
2025-03-31T21:44:48.992986Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 322, leaf_nodes: 7, hashed_cursor_seek_count: 23, hashed_cursor_advance_count: 7, walker_advance_count: 333 }
2025-03-31T21:44:48.993688Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 322, leaf_nodes: 10, hashed_cursor_seek_count: 27, hashed_cursor_advance_count: 10, walker_advance_count: 336 }
2025-03-31T21:44:48.993770Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 14, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 14, walker_advance_count: 1 }
2025-03-31T21:44:48.994040Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 287, leaf_nodes: 7, hashed_cursor_seek_count: 18, hashed_cursor_advance_count: 7, walker_advance_count: 297 }
2025-03-31T21:44:48.994303Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 299, leaf_nodes: 6, hashed_cursor_seek_count: 18, hashed_cursor_advance_count: 6, walker_advance_count: 303 }
2025-03-31T21:44:48.994617Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 2, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 2, walker_advance_count: 1 }
